Video	Video title	Video publish time	Average view duration	Unique viewers	Average percentage viewed (%)	Views	Watch time (hours)	Subscribers	Impressions	Impressions click-through rate (%)
TAm8MTyxjzQ	THE 2017 NBA 2K AWARDS	"Dec 27, 2017"	0:04:03	78	39.49	87	5.8877	0	2618	2.29
epLAAg6nOYI	NBA 2K17- The Story of the Point Forward Who Could NEVER Take Ankles	"Mar 8, 2017"	0:04:14	75	37.34	81	5.7302	1	1722	2.9
dHRHS5Y1agg	MESSAGE TO THE NBA 2K DEVS...	"Oct 10, 2017"	0:04:25	64	38.77	76	5.5986	0	2538	1.81
eRXPsG4ThAM	It's Lagging? THIS IS THE BEST JUMPSHOT TO USE THROUGH LAG IN NBA 2K17!!	"Mar 4, 2017"	0:02:00	145	28	165	5.5049	0	2561	3.67
RH5Qt75XYxY	HOW TO CREATE A SHARPSHOOTER UNLIKE ANY IN THE GAME!!! AGENT 00'S SHARPSHOOTER BUILD [NBA 2K17]	"Dec 15, 2016"	0:02:47	103	17.79	118	5.4877	1	2265	3.53
gK7mR-dljkg	NBA 2K17 - FASTEST WAY TO GET TO 99 OVERALL & GET ATTRIBUTE UPGRADES IN NBA 2K17 MYCAREER	"Sep 16, 2016"	0:02:30	120	43.09	130	5.4306	1	3055	1.96
0x7HNFly1WU	SECURITY ALMOST KICKED ME OUT FOR PLAYING NBA 2K18 AT THE RAPTORS GAME	"Nov 20, 2017"	0:03:13	91	44.04	100	5.3827	0	2781	2.77
iNxtX31ZJcI	NBA 2K LEAGUE PAYING OUT MILLIONS..	"Feb 13, 2018"	0:05:48	48	54.16	55	5.3286	0	2521	1.35
S3RgsgAyOp4	NBA 2K17 Mythbusters - FINDING OUT WHETHER SHOOTING PARK CARDS REALLY GIVE YOU A SERIOUS ADVANTAGE	"Mar 11, 2017"	0:04:03	69	46.23	78	5.2692	0	1794	2.34
U9zf4zGYl_E	CUSTOM RELEASES ARE BEING PATCHED! THESE NEW JUMPERS ARE SECRET	"Dec 8, 2017"	0:04:42	53	45.09	67	5.2528	0	2636	1.48
Ax0sxFup764	LAG & SERVER FIX! HOW TO REMOVE 100% OF LAG FROM NBA 2K18	"Sep 20, 2017"	0:01:22	204	21.09	228	5.2492	2	3410	2.9
RTLCzBJXqUc	NBA 2K16 IS THE WORST 2K OF ALL TIME [PARODY]	"Aug 12, 2016"	0:02:55	93	25.1	107	5.2295	0	3332	2.43
XaXDRV5wYY8	A NEW PARK TYPE GAME RELEASED!!! NBA 2K17 KILLER?!	"Dec 13, 2016"	0:03:30	83	45.79	89	5.2075	0	2034	2.7
JzMDsBx3H4w	"*MUST WATCH* NEW MEGAPHONE REP REWARD, DAY & NIGHT CYCLES, PRIVATE PARK, THE CREW RETURNS"	"Aug 31, 2018"	0:05:39	54	23.15	55	5.1817	1	3206	0.87
gd-dvbEA5UE	NBA 2K17 - CLEANEST SHOOTING FORM IN 2K17!!! WHY YOU 100% HAVE TO SWITCH TO THE SHOT STICK!!	"Sep 20, 2016"	0:02:07	120	22.83	142	5.0423	0	2700	3.78
9K9nu40cjUU	PARK CARDS ARE ABOUT TO BECOME REALLY POPULAR IN NBA 2K17!!!	"Dec 23, 2016"	0:07:03	34	40.91	41	4.8268	0	1643	1.58
TzOTgHOz8uA	SHARPSHOOTER DROPPED OFF THE LOCKDOWN DEFENDER!!! NBA 2K17 MYPARK	"Nov 5, 2016"	0:03:24	77	72.54	83	4.7161	0	1658	2.05
bZeo5isHAdk	"LD2K LEAKED NBA 2K18 INFO! NEW ARCHETYPES, SHOOTING IMPROVEMENTS"	"Jun 18, 2017"	0:05:20	45	38.86	52	4.6364	0	2213	1.17
f50mQ7r0Bqk	TOP 10 NBA 2K17 YOUTUBERS	"Jul 21, 2017"	0:02:14	102	21.02	124	4.6192	1	3384	2.54
CTzlVCxbZP0	NBA 2K17 DRIBBLE GAWDS IN REAL LIFE...	"Aug 2, 2017"	0:02:54	82	35.91	93	4.518	0	2397	2.38
BvtXJrejSDU	THE MIND OF A COMPETITIVE MYPARK PLAYER	"Jun 26, 2017"	0:03:47	63	59.14	70	4.4158	0	1971	1.98
ph0y1HJWodo	NBA 2K17 SPORTS SCIENCE - JUSTICE YOUNG	"Jan 8, 2017"	0:02:19	101	47.9	113	4.3901	0	2300	3
dlE4sPRtVbE	BEST JUMPER ON NBA 2K18 AFTER PATCH 5! LIGHTS OUT SH00TING	"Nov 7, 2017"	0:02:57	77	33.55	88	4.3296	1	2906	2.03
4G7YKpDQBns	NBA 2K17 - BEING DISRESPECTED ON THE MYPARK BY A LITTLE KID	"Dec 22, 2016"	0:03:39	66	79.87	70	4.2707	0	1560	1.47
EuK4_TtwmvI	NBA LIVE 19 SET TO FINALLY TAKE DOWN NBA 2K19!? NBA LIVE'S COMPLETE COMEBACK	"May 30, 2018"	0:02:30	89	22.72	99	4.1305	0	2992	2.37
RSr-lrk08lA	MASSIVE NERF TO SH00TING IN NBA 2K18...	"Oct 17, 2017"	0:05:04	40	48.39	48	4.0651	0	2096	1.34
k3zWbvmYaog	FORTNITE DUOS W/ AN EPIC FINISH! THIS BALL FOLLOWED US EVERYWHERE WE GO!!	"Mar 7, 2018"	0:04:22	48	31.2	55	4.0038	0	2276	1.32
0EayqhegrRs	NBA 2K MADE A ROOKIE MISTAKE REVEALING THESE MYCAREER DETAILS...	"Aug 23, 2018"	0:04:45	45	53.93	50	3.9702	0	3005	1
